corridor,event_count,ema_risk,closure_prob,severity_input
non-corridor,1982,33.81498676747033,0.09475806451612903,30.84289622812168
non-corridor,1983,33.517777713535466,0.0947103274559194,30.84289622812168
non-corridor,1984,33.25028956499409,0.094662638469285,30.84289622812168
mysore road,489,47.4402177819265,0.0855397148676171,39.77283713353062
cbd 2,71,49.449799466193355,0.1095890410958904,64.34250226947785
orr east 2,115,46.046691346271196,0.02564102564102564,45.119212017595366
old madras road,173,43.55955764351938,0.022857142857142857,41.6206367577898
non-corridor,1985,33.42884381157396,0.09461499748364369,35.035832030792804
old airport road,54,47.29934450918303,0.08928571428571429,39.18652047739645
non-corridor,1986,35.28595943041657,0.09456740442655935,52.0
bellary road 2,298,47.154014438772634,0.03666666666666667,40.13559617421368
hennur main road,74,45.02542381583214,0.039473684210526314,44.080911648839084
non-corridor,1987,34.84165311018708,0.09451985922574158,30.84289622812168
magadi road,160,45.335030750723035,0.05555555555555555,37.5929113788867
mysore road,490,47.39350104726342,0.08536585365853659,46.97305043529567
west of chord road,99,45.13029220838741,0.06930693069306931,41.328984059164256
old madras road,174,43.365665554946425,0.022727272727272728,41.6206367577898
non-corridor,1988,34.65662778919831,0.09447236180904522,32.99139990029938
irr(thanisandra road),55,43.04440303364281,0.12280701754385964,34.13517907064446
orr north 2,158,45.28252383126102,0.0625,44.54353317079685
non-corridor,1989,34.27525463309065,0.09442491210447011,30.84289622812168
non-corridor,1990,34.30602637080147,0.09437751004016064,34.58297201019883
non-corridor,1991,35.47542373372132,0.09433015554440542,46.0
bellary road 2,299,47.14123986209239,0.036544850498338874,47.02626867197016
bellary road 2,300,47.12974274308017,0.03642384105960265,47.02626867197016
non-corridor,1992,36.487170983161356,0.09428284854563691,45.592896228121674
mysore road,491,48.500313398760376,0.08519269776876268,58.46162456223296
old madras road,175,43.691162675230764,0.022598870056497175,46.6206367577898
old madras road,176,44.08692351201185,0.02247191011235955,47.648771043041634
non-corridor,1993,36.42274350765739,0.09423558897243108,35.84289622812168
mysore road,492,48.472587102413904,0.08502024291497975,48.22305043529567
non-corridor,1994,36.36475877970382,0.09418837675350701,35.84289622812168
orr east 2,116,46.14503997894094,0.025423728813559324,47.03017767296867
orr east 2,117,46.023843440671534,0.025210084033613446,44.93307459624678
non-corridor,1995,36.3125725245456,0.09414121181772658,35.84289622812168
orr north 1,178,45.394860405945735,0.07777777777777778,44.14827988111462
bellary road 2,301,47.11939533596917,0.036303630363036306,47.02626867197016
non-corridor,1996,36.56560489490321,0.0940940940940941,38.842896228121674
magadi road,161,45.24467681632598,0.05521472392638037,44.43149140675243
mysore road,493,47.94763343570208,0.08484848484848485,43.22305043529567
non-corridor,1997,36.14338796797178,0.09404702351175588,32.34343562558889
hosur road,228,45.71175510027306,0.05652173913043478,41.7279113136061
magadi road,162,45.04240089739207,0.054878048780487805,43.22191762698689
hosur road,229,44.27145730434057,0.05627705627705628,31.308777140948113
non-corridor,1998,35.72103584514708,0.094,31.91986673972472
bellary road 1,411,50.988463541456504,0.053268765133171914,40.661375909808065
non-corridor,1999,35.35050571502786,0.09395302348825588,32.01573454395486
bellary road 1,412,52.12935905791092,0.05314009661835749,62.39741870600067
bellary road 1,413,52.165454645532066,0.05301204819277108,52.49031493412236
non-corridor,2000,34.962714563432634,0.0939060939060939,31.472594199075598
mysore road,494,47.43772285191274,0.0846774193548387,42.848527597808705
non-corridor,2001,36.216443107089376,0.09385921118322517,47.5
mysore road,495,47.01625561025104,0.08450704225352113,43.22305043529567
tumkur road,318,44.31671169848083,0.03125,42.27769341216459
bellary road 2,302,48.085082669569275,0.03618421052631579,56.776268671970165
bellary road 1,414,51.7229406743911,0.052884615384615384,47.74031493412235
orr east 1,158,47.7378373359466,0.09375,48.00353015042261
cbd 2,72,49.114922082379486,0.10810810810810811,46.101025628054636
cbd 2,73,48.81353243694701,0.10666666666666667,46.101025628054636
west of chord road,100,46.2251613934651,0.06862745098039216,56.07898405916426
bellary road 1,415,51.17059477390012,0.05275779376498801,46.19948166948136
mysore road,496,47.1369350927555,0.08433734939759036,48.22305043529567
orr north 1,179,45.52112560398633,0.07734806629834254,46.657512386351655
non-corridor,2002,35.67908841919261,0.09381237524950099,30.84289622812168
old airport road,55,47.4954613304232,0.08771929824561403,49.26051272158464
old airport road,56,47.67196646953934,0.08620689655172414,49.26051272158464
old airport road,57,47.83082109474387,0.0847457627118644,49.26051272158464
old airport road,58,46.20948230494501,0.08333333333333333,31.617433196755297
old airport road,59,46.51458534660898,0.08196721311475409,49.26051272158464
mysore road,497,46.610978223315826,0.0841683366733467,41.87736639835874
mysore road,498,46.77218544451381,0.084,48.22305043529567
bellary road 1,416,50.82756678992235,0.05263157894736842,47.74031493412235
old madras road,177,44.34029483658965,0.0223463687150838,46.6206367577898
mysore road,499,46.182068072685595,0.08383233532934131,40.87101172623163
non-corridor,2003,36.71117957727335,0.09376558603491272,46.0
mysore road,500,46.027543586054826,0.08366533864541832,44.63682320637784
hosur road,230,43.386142104673226,0.05603448275862069,35.418305307667126
non-corridor,2004,36.24215196218528,0.09371884346959122,32.02090342639268
bellary road 1,417,50.018841604342356,0.05250596658711217,42.74031493412235
hennur main road,75,44.63097259913284,0.03896103896103896,41.08091164883908
non-corridor,2005,35.887133006552034,0.09367214748380667,32.691962405852806
mysore road,501,45.74709427097891,0.08349900596421471,43.22305043529567
bellary road 2,303,47.479201269809366,0.036065573770491806,42.02626867197016
bellary road 2,304,47.90890801002544,0.03594771241830065,51.77626867197016
tumkur road,319,44.11280986984921,0.03115264797507788,42.27769341216459
non-corridor,2006,35.382709328709,0.09362549800796813,30.84289622812168
non-corridor,2007,34.92872801865027,0.0935788949726232,30.84289622812168
hosur road,231,43.72031902556652,0.055793991416309016,46.7279113136061
mysore road,502,46.296941345905324,0.08333333333333333,51.24556502024301
orr north 1,180,45.614839784889426,0.07692307692307693,46.458267413017296
non-corridor,2008,35.84514483959741,0.09353233830845771,44.092896228121674
bellary road 2,305,48.795644076219915,0.035830618892508145,56.776268671970165
non-corridor,2009,35.2332219925956,0.09348582794629537,29.72591636957927
mysore road,503,46.48955225484436,0.08316831683168317,48.22305043529567
bellary road 1,418,51.30669931450819,0.05238095238095238,62.897418706000686
non-corridor,2010,35.17351522644984,0.09343936381709742,34.63615433113791
tumkur road,320,44.16217204395782,0.031055900621118012,44.6064316109353
tumkur road,321,44.4737241807785,0.030959752321981424,47.27769341216459
non-corridor,2011,35.66297853966293,0.09339294585196224,40.068148358580785
non-corridor,2012,36.629657112883415,0.09334657398212512,45.329764271867774
non-corridor,2013,36.23215730142066,0.09330024813895782,32.65465899825591
orr east 2,118,45.933380298363915,0.025,45.119212017595366
tumkur road,322,44.25412110391711,0.030864197530864196,42.27769341216459
cbd 1,14,43.54498202688182,0.125,50.940609176281626
tumkur road,323,43.484242406977145,0.03076923076923077,36.555334134517466
west of chord road,101,45.73554366003502,0.06796116504854369,41.328984059164256
west of chord road,102,45.29488769994795,0.0673076923076923,41.328984059164256
hennur main road,76,44.247916113522265,0.038461538461538464,40.80040774302708
non-corridor,2014,35.69323119409077,0.09325396825396826,30.84289622812168
hosur road,232,44.17833860074051,0.05555555555555555,48.30051477730641
bellary road 1,419,50.25345847910343,0.052256532066508314,40.77429096046064
airport new south road,51,48.15229474867333,0.09433962264150944,40.98369408263057
bellary road 2,306,48.11870653579494,0.03571428571428571,42.02626867197016
mysore road,504,45.87408443822967,0.08300395256916997,40.3348740886975
orr north 1,181,45.21910704503565,0.07650273224043716,41.657512386351655
airport new south road,52,47.43543468206906,0.09259259259259259,40.98369408263057
non-corridor,2015,36.723908074681695,0.0932077342588002,46.0
non-corridor,2016,36.13580689002569,0.0931615460852329,30.84289622812168
non-corridor,2017,35.606515823835295,0.09311540366518078,30.84289622812168
hosur road,233,43.933295872027074,0.05531914893617021,41.7279113136061
orr east 2,119,44.26453495758125,0.024793388429752067,29.244926890537194
tumkur road,324,42.94271865052674,0.03067484662576687,38.069004842473056
cbd 2,74,49.995687354009114,0.10526315789473684,60.63508160756806
non-corridor,2018,34.89572808385525,0.09306930693069307,28.49863842403485
non-corridor,2019,36.00615527546973,0.09302325581395349,46.0
bellary road 1,420,51.50214412460532,0.054502369668246446,62.74031493412237
bellary road 1,421,50.62596120555703,0.054373522458628844,42.74031493412235
orr north 1,182,45.837947579167256,0.07608695652173914,51.40751238635166
orr north 1,183,46.3949040598857,0.07567567567567568,51.40751238635166
non-corridor,2020,34.52077718661867,0.09297725024727992,21.152374386959107
orr north 2,159,45.2086247652146,0.062111801242236024,44.54353317079685
mysore road,505,45.712092092518134,0.08284023668639054,44.254160981114296
cbd 2,75,49.106221181413666,0.1038961038961039,41.101025628054636
magadi road,163,44.86017257152107,0.05454545454545454,43.22011763868205
magadi road,164,44.678972327226546,0.05421686746987952,43.0481701285758
orr north 2,160,44.842115605772825,0.06172839506172839,41.54353317079684
orr north 1,184,46.421164892532296,0.07526881720430108,46.657512386351655
bellary road 1,422,50.33739657841357,0.054245283018867926,47.74031493412235
non-corridor,2021,34.652989090768976,0.09293129016312407,35.84289622812168
orr north 1,185,45.94479964191424,0.0748663101604278,41.657512386351655
tumkur road,325,43.37621612669053,0.03058103975535168,47.27769341216459
bellary road 2,307,47.783830800847525,0.03559870550161812,44.76994918632073
bellary road 2,308,47.70807458795979,0.035483870967741936,47.02626867197016
mysore road,506,47.62889830398372,0.08267716535433071,64.88015420717399
cbd 1,15,42.92638416132991,0.11764705882352941,37.359003371362775
non-corridor,2022,34.77197980450425,0.09288537549407115,35.84289622812168
tumkur road,326,43.20343324703712,0.03048780487804878,41.648387330156446
hennur main road,77,46.096926044241776,0.0379746835443038,62.738015420717396
mysore road,507,47.68831351711491,0.0825147347740668,48.22305043529567
mysore road,508,47.02761549675998,0.08235294117647059,41.081333313565565
non-corridor,2023,36.54478182405383,0.09283950617283951,52.5
non-corridor,2024,36.47459326446061,0.09279368213228036,35.84289622812168
orr east 2,120,44.35000266358266,0.02459016393442623,45.119212017595366
orr north 2,161,44.851657301824744,0.06134969325153374,44.937532566292006
non-corridor,2025,35.076840134003795,0.09274790330537741,22.49706195989247
bellary road 1,423,49.57768841398445,0.05411764705882353,42.74031493412235
non-corridor,2026,34.65344574341559,0.09270216962524655,30.84289622812168
non-corridor,2027,34.272390791886195,0.09265648102513553,30.84289622812168
non-corridor,2028,33.864416774778974,0.09261083743842365,30.19265062081397
bellary road 1,424,50.55966144318607,0.0539906103286385,59.39741870600067
non-corridor,2029,33.5453025319188,0.09256523879862137,30.673274346177248
non-corridor,2030,33.43593824065775,0.09251968503937008,32.451659619308266
tumkur road,327,43.11085926354986,0.030395136778115502,42.27769341216459
cbd 2,76,48.30570162607776,0.10256410256410256,41.101025628054636
non-corridor,2031,34.15163403940414,0.09247417609444171,40.592896228121674
non-corridor,2032,36.1957602582759,0.09292035398230089,54.59289622812168
non-corridor,2033,35.408071127020946,0.09287469287469287,28.3188689457264
orr north 1,186,45.897758423181315,0.07446808510638298,45.474387454585
magadi road,165,44.14492767910183,0.05389221556886228,39.33852584597945
old madras road,178,43.72676212867621,0.022222222222222223,38.20496775745519
non-corridor,2034,34.640514006816275,0.09282907662082515,27.732499924974242
mysore road,509,46.53982922963301,0.0821917808219178,42.14975282549029
non-corridor,2035,33.386677142007215,0.09278350515463918,22.10214535872565
non-corridor,2036,33.49440685809957,0.09273797841020609,34.46397430293076
orr north 1,187,45.47373381949835,0.07407407407407407,41.657512386351655
bellary road 1,425,49.77772679227971,0.053864168618266976,42.74031493412235
non-corridor,2037,33.229255795101786,0.09269249632172634,30.84289622812168
bellary road 1,426,49.07398560646398,0.053738317757009345,42.74031493412235
non-corridor,2038,34.8119201890639,0.09313725490196079,49.05589973472287
non-corridor,2039,38.08072817015751,0.09358157765801078,67.5
orr north 1,188,45.91450975699724,0.07368421052631578,49.881493194487234
orr north 2,162,44.82084488872196,0.06097560975609756,44.54353317079685
non-corridor,2040,36.880953493464204,0.09353574926542606,26.08298140322438
bellary road 2,309,47.13989399636083,0.03536977491961415,42.02626867197016
non-corridor,2041,36.27368528660872,0.09348996573666177,30.808271424909293
tumkur road,328,43.76777577377203,0.030303030303030304,49.68002436577155
non-corridor,2042,36.70560638076001,0.09344422700587084,40.592896228121674
non-corridor,2043,36.119335365496184,0.09339853300733496,30.84289622812168
non-corridor,2044,35.57323785196647,0.09335288367546432,30.658360230199015
non-corridor,2045,36.57520368958199,0.09330727894479726,45.592896228121674
non-corridor,2046,38.501972943435966,0.09375,55.84289622812169
tumkur road,329,46.41876753761129,0.03323262839879154,70.27769341216461
non-corridor,2047,38.236065271904536,0.09370424597364568,35.84289622812168
orr east 1,159,47.61673075449699,0.09316770186335403,46.52677152145054
non-corridor,2048,37.99674836752625,0.09365853658536585,35.84289622812168
hosur road,234,43.9641468285481,0.05508474576271186,44.24180543723734
tumkur road,330,46.4325896639982,0.03313253012048193,46.5569888014804
west of chord road,103,45.174358020823576,0.06666666666666667,44.08959090870419
orr north 1,189,45.988810019932686,0.07329842931937172,46.657512386351655
orr north 2,163,44.99311371692944,0.06060606060606061,46.54353317079684
tumkur road,331,46.51710003881484,0.03303303303303303,47.27769341216459
airport new south road,53,47.29026062212521,0.09090909090909091,45.983694082630564
non-corridor,2049,37.7813631535858,0.09361287176986836,35.84289622812168
orr north 2,164,45.148155662316185,0.060240963855421686,46.54353317079684
orr east 1,160,47.507734831192344,0.09259259259259259,46.52677152145054
bellary road 2,310,47.12853146392177,0.035256410256410256,47.02626867197016
mysore road,510,46.70815135019927,0.08203125,48.22305043529567
non-corridor,2050,37.587516461039385,0.0935672514619883,35.84289622812168
non-corridor,2051,37.90273543146134,0.09352167559668777,40.73970616525887
orr east 2,121,44.426923598983926,0.024390243902439025,45.119212017595366
mysore road,511,47.39659784113247,0.08382066276803118,53.59261625953121
non-corridor,2052,37.571751511127374,0.0934761441090555,34.59289622812168
tumkur road,332,47.75886975333765,0.03293413173652695,58.93479718404291
bellary road 2,311,48.28401556191444,0.03514376996805112,58.68337244384847
magadi road,166,45.46447037745591,0.05952380952380952,57.34035466264261
hosur road,235,44.4155232770539,0.05485232067510549,48.4779113136061
non-corridor,2053,37.273865982826806,0.09343065693430656,34.59289622812168
non-corridor,2054,36.594436228840266,0.0933852140077821,30.47956844296137
bellary road 2,312,47.65824087292001,0.03503184713375796,42.02626867197016
non-corridor,2055,37.68499260595624,0.09333981526494896,47.5
mysore road,512,46.97924310054879,0.08365758754863813,43.22305043529567
bellary road 2,313,47.09504365282503,0.03492063492063492,42.02626867197016
bellary road 2,314,46.58816615473955,0.03481012658227848,42.02626867197016
bellary road 1,427,48.44061853922982,0.053613053613053616,42.74031493412235
varthur road,51,45.5343134307313,0.11320754716981132,45.28468915477828
tumkur road,333,48.1444209355909,0.03283582089552239,51.61438157587015
non-corridor,2056,37.000782968172786,0.09329446064139942,30.84289622812168
non-corridor,2057,38.0246007693564,0.09373482272948033,47.23896098000889
hennur main road,78,45.89532460470151,0.0375,44.080911648839084
orr north 2,165,45.08769341316425,0.059880239520958084,44.54353317079685
non-corridor,2058,38.281430315232924,0.09368932038834951,40.592896228121674
non-corridor,2059,37.092147974437154,0.09364386220281416,26.388606907275204
non-corridor,2060,36.46722279980561,0.0935984481086324,30.84289622812168
orr north 2,166,44.13921721179309,0.05952380952380952,35.602931399452615
mysore road,513,48.56933421121131,0.08349514563106795,62.88015420717399
non-corridor,2061,36.98024871057045,0.09355307804168686,41.59748190745399
non-corridor,2062,38.182223839513405,0.0935077519379845,49.0
non-corridor,2063,40.28388603595645,0.09394673123486683,59.198845803943826
bellary road 1,428,51.823972657019524,0.05581395348837209,82.27415971712684
non-corridor,2064,41.155497432360804,0.09390125847047434,49.0
non-corridor,2065,40.01400037331462,0.0938558297048863,29.740526841898973
orr east 2,122,43.77349174831969,0.024193548387096774,37.89260509234158
hosur road,236,43.99836646936258,0.0546218487394958,40.243955200140675
non-corridor,2066,41.06260033598316,0.09381044487427466,50.5
non-corridor,2067,44.15634030238485,0.09424842919284679,72.0
hosur road,237,45.73703133097476,0.05439330543933055,61.385015085484405
orr north 1,190,45.55568025657458,0.07291666666666667,41.657512386351655
non-corridor,2068,42.70047339534846,0.09420289855072464,29.597671232020982
non-corridor,2069,43.630426055813615,0.09415741187831965,52.0
non-corridor,2070,44.16980964788448,0.0945945945945946,49.02426197652229
non-corridor,2071,44.80282868309604,0.0945489628557646,50.5
non-corridor,2072,45.98989482375326,0.09498553519768563,56.673490089668256
mysore road,514,50.000416210807586,0.08333333333333333,62.88015420717399
mysore road,515,50.988390010444235,0.08317214700193423,59.88015420717399
mysore road,516,52.10016305847697,0.08301158301158301,62.10612049077161
non-corridor,2073,43.75563439425481,0.09493975903614457,23.647290528768718
non-corridor,2074,44.58007095482934,0.09489402697495183,52.0
hosur road,238,47.30182970642572,0.05416666666666667,61.385015085484405
non-corridor,2075,47.32206385934641,0.0953298025999037,72.0
non-corridor,2076,47.78985747341177,0.09528392685274302,52.0
bannerghata road,135,44.981662981039264,0.029197080291970802,62.15345930967202
non-corridor,2077,46.26627606245077,0.09523809523809523,32.55404336380177
bellary road 1,429,52.758218596224616,0.058004640371229696,61.166432049070394
mysore road,517,53.17816217334668,0.08285163776493257,62.88015420717399
non-corridor,2078,44.84525257343618,0.09519230769230769,32.05604117230478
bannerghata road,136,44.70225387752421,0.028985507246376812,42.187571945888656
non-corridor,2079,43.535680588764244,0.09514656415185008,31.74953272671688
non-corridor,2080,44.31649506539875,0.09510086455331412,51.343825355109296
cbd 2,77,49.70094440346328,0.10126582278481013,62.25812939993295
non-corridor,2081,44.93484555885887,0.09505520883341334,50.5
non-corridor,2082,43.23798511863887,0.09500959692898273,27.966241156658867
mysore road,518,55.287043290954756,0.08461538461538462,74.26697334942742
orr east 2,123,43.9241625393887,0.024,45.280199659009774
old airport road,60,46.805692740740525,0.08064516129032258,49.42565928792443
west of chord road,104,46.270679724160054,0.07547169811320754,56.13757505418834
orr west 1,115,46.09958758694335,0.03418803418803419,60.281552866416654
orr west 1,116,46.295851069230814,0.03389830508474576,48.06222240981796
non-corridor,2083,44.114186606774986,0.09496402877697842,52.0
bellary road 1,430,53.41245488189961,0.06018518518518518,59.3005814529746
non-corridor,2084,44.75276794609749,0.09491850431447747,50.5
non-corridor,2085,43.80748442155381,0.09487302347867753,35.29993270066062
bannerghata road,137,43.89768196321223,0.02877697841726619,36.6565347344044
orr west 1,117,46.65337893257688,0.03361344537815126,49.87112970269143
west of chord road,105,47.97308590753454,0.08411214953271028,63.29474155790494
non-corridor,2086,44.62673597939843,0.09482758620689655,52.0
non-corridor,2087,47.143569000496136,0.09526089037817137,69.79506619037542
non-corridor,2088,49.5237633457741,0.09569377990430622,70.94551245327577
non-corridor,2089,49.655676634008856,0.09612625538020086,50.84289622812168
mysore road,519,58.04635438257668,0.08637236084452975,82.88015420717399
non-corridor,2090,49.774398593420145,0.0965583173996176,50.84289622812168
orr east 1,161,46.909638500218165,0.09202453987730061,41.52677152145054
orr east 1,162,46.1014074725395,0.09146341463414634,38.82732822343148
mysore road,520,60.52973436503641,0.08812260536398467,82.88015420717399
non-corridor,2091,51.84695873407813,0.09698996655518395,70.5
non-corridor,2092,49.46634614994569,0.09694364851957975,28.04083289275374
non-corridor,2093,47.93602443253359,0.09689737470167065,34.16312897582468
hosur road,239,46.74443786714376,0.05394190871369295,41.7279113136061
non-corridor,2094,48.57023209316443,0.09732824427480916,54.27810103884192
non-corridor,2095,47.92533190215286,0.09728183118741059,42.121230183048795
non-corridor,2096,48.18279871193758,0.09723546234509056,50.5
orr east 1,163,45.682968196715564,0.09090909090909091,41.917014714300144
orr east 1,164,45.0725505763939,0.09036144578313253,39.578791993498896
tumkur road,334,47.97742302560387,0.03273809523809524,46.47444183572054
non-corridor,2097,45.98585109751269,0.09718913768461172,26.213322567688703
bellary road 1,431,54.31095126430972,0.06004618937644342,62.39741870600067
non-corridor,2098,44.983714166173044,0.09714285714285714,35.96448178411623
old madras road,179,43.14040886298236,0.022099447513812154,37.86322947173773
non-corridor,2099,44.30592038828572,0.09709662065683008,38.205776387299764
non-corridor,2100,45.01236533540317,0.09752616555661275,51.37036985946018
non-corridor,2101,46.072177911784046,0.09795530194959581,55.6104910992119
non-corridor,2102,48.66496012060564,0.09838403041825095,72.0
non-corridor,2103,49.12525718544626,0.098812351543943,53.26793076901182
non-corridor,2104,50.33216878638653,0.09924026590693258,61.19437319484893
tumkur road,335,47.5549227747768,0.032640949554896145,43.75242051733315
non-corridor,2105,50.311628046084216,0.09919316563834836,50.12676138336336
non-corridor,2106,51.095937733475864,0.09962049335863378,58.154724920000675
old madras road,180,46.145222150169936,0.027472527472527472,73.18854173485812
orr west 1,118,48.00653871314692,0.03333333333333333,60.18497673827722
non-corridor,2107,48.400950962525535,0.09957325746799431,24.146070023972513
tumkur road,336,48.96444302888809,0.03254437869822485,61.65012531588972
bellary road 1,432,53.67431377298276,0.059907834101382486,47.94457635104003
orr west 1,119,48.276145806844085,0.03305785123966942,50.702609650118625
non-corridor,2108,49.9880240849739,0.1,64.27168218700923
mysore road,521,62.76477634925017,0.08986615678776291,82.88015420717399
bannerghata road,138,44.02867468887668,0.02857142857142857,45.20760921985673
non-corridor,2109,47.59098909169617,0.09995262908574136,26.017674152196633
orr east 1,165,46.683683048087396,0.08982035928143713,61.18387529332886
mysore road,522,60.09706818385174,0.08969465648854962,36.08769469526585
non-corridor,2110,45.446746689521035,0.09990530303030302,26.14856506994481
orr west 1,120,47.01031117412799,0.03278688524590164,35.61779947968315
non-corridor,2111,45.952072020568934,0.09985802176999527,50.5
cbd 2,78,50.95666290311025,0.1,62.25812939993295
west of chord road,106,47.16504803229301,0.08333333333333333,39.89270715511921
non-corridor,2112,44.40533602633291,0.09981078524124881,30.484712078208652
non-corridor,2113,44.815828142734944,0.10023640661938535,48.510257190353215
tumkur road,337,49.961478444403575,0.032448377581120944,58.93479718404291
non-corridor,2114,43.47159311356425,0.1001890359168242,31.373477851028063
non-corridor,2115,44.17443380220783,0.10014170996693435,50.5
irr(thanisandra road),56,42.28035747971158,0.1206896551724138,35.403947494330545
non-corridor,2116,44.50699042198705,0.10009442870632672,47.5
non-corridor,2117,47.256291379788344,0.10051911278905144,72.0
non-corridor,2118,47.64635565624794,0.10047169811320755,51.15693414438434
bellary road 2,315,46.647083358624144,0.03470031545741325,47.177338193585484
non-corridor,2119,49.931720090623145,0.10089580386610089,70.5
tumkur road,338,51.308810318367506,0.03235294117647059,63.434797184042914
bannerghata road,139,43.07108254814535,0.028368794326241134,34.45275328156333
non-corridor,2120,52.138548081560835,0.10131950989632423,72.0
non-corridor,2121,49.287051911827845,0.10127178520960904,23.623586384230943
non-corridor,2122,47.442636343457224,0.1012241054613936,30.84289622812168
non-corridor,2123,47.07838125383237,0.1011764705882353,43.80008544720868
non-corridor,2124,44.85433222323561,0.10112888052681092,24.837890947864736
